	ON	OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
100	224	Otu00224	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_ellipsoideum
101	268	Otu00268	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_engadinense
102	279	Otu00279	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_engadinense
103	416	Otu00416	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Chloroidium_ellipsoideum
104	126	Otu00126	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Coccomyxaceae	Choricystis	Choricystis_sp
105	30	Otu00030	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Dictyochloropsis	Dictyochloropsis_reticulata
106	74	Otu00074	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Dictyochloropsis	Dictyochloropsis_irregularis
107	138	Otu00138	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Dictyochloropsis	Dictyochloropsis_splendida
108	259	Otu00259	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Dictyochloropsis	Dictyochloropsis_reticulata
109	334	Otu00334	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiales	Trebouxiaceae	Dictyochloropsis	Dictyochloropsis_symbiontica
110	8	Otu00008	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
111	36	Otu00036	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
112	90	Otu00090	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
113	95	Otu00095	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Trebouxiophyceae	Leptosira	Leptosira_erumpens
