	ON	OTU	Kingdom	Supergroup	Phylum	Class	Order	Family	Genus	Species
170	204	Otu00204	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas_sp
171	365	Otu00365	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas_moewusii
172	233	Otu00233	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Haematococcaceae	Chlorogonium	Chlorogonium_euchlorum
173	44	Otu00044	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_fukushimae
174	50	Otu00050	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_reticulata
175	52	Otu00052	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_platystigma
176	58	Otu00058	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_sp
177	102	Otu00102	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_palmelloides
178	120	Otu00120	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_sp
179	145	Otu00145	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_augustae
180	171	Otu00171	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_actinochloris
181	329	Otu00329	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas	Chloromonas_pichinchae
182	147	Otu00147	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorosarcinaceae	Chlorosarcina	Chlorosarcina_stigmatica
183	38	Otu00038	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Coccomyxaceae	Coccomyxa	Coccomyxa_sp
184	164	Otu00164	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Coccomyxaceae	Coccomyxa	Coccomyxa_sp
185	256	Otu00256	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Coccomyxaceae	Coccomyxa	Coccomyxa_sp
186	269	Otu00269	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae	Coccomyxaceae	Coccomyxa	Coccomyxa_sp
187	156	Otu00156	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales	Ettlia	Ettlia_pseudoalveolaris
188	166	Otu00166	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Heterochlamydomonas	Heterochlamydomonas_lobata
189	29	Otu00029	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Ulotrichales	Planophilaceae	Planophila	Planophila_sp
190	34	Otu00034	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Scotinosphaerales	Scotinosphaeraceae	Scotinosphaera	Scotinosphaera_gibberosa
191	434	Otu00434	Eukaryota	Archaeplastida	Chlorophyta	Ulvophyceae	Scotinosphaerales	Scotinosphaeraceae	Scotinosphaera	Scotinosphaera_sp
