;1A_Sv;1B_Sv;1C_Sv;1D_Sv;1E_Sv;2A_Sv;2B_Sv;2C_Sv;2D_Sv;2E_Sv;3A_Sv;3B_Sv;3C_Sv;3D_Sv;3E_Sv;4A_Sv;4B_Sv;4C_Sv;4D_Sv;4E_Sv;5A_Sv;5B_Sv;5C_Sv;5D_Sv;5E_Sv;6A_Sv;6B_Sv;6C_Sv;6D_Sv;6E_Sv;7A_Sv;7B_Sv;7C_Sv;7D_Sv;7E_Sv;8A_Sv;8B_Sv;8C_Sv;8D_Sv;8E_Sv;9A_Sv;9B_Sv;9C_Sv;9D_Sv;9E_Sv;BIO1_1_An;BIO1_2_An;BIO1_3_An;BIO1_4_An;BIO1_5_An;BIO2_1_An;BIO2_2_An;BIO2_3_An;BIO2_4_An;BIO2_5_An;BIO3_1_An;BIO3_2_An;BIO3_3_An;BIO3_4_An;BIO3_5_An;BIO4_1_An;BIO4_2_An;BIO4_3_An;BIO4_4_An;BIO4_5_An;C2_1_An;C2_2_An;C2_3_An;C2_4_An;C2_5_An;C3_1_An;C3_2_An;C3_3_An;C3_4_An;C3_5_An;C3_6_An;C4_1_An;C4_2_An;C4_3_An;C4_4_An;C4_5_An;K5_1_An;K5_2_An;K5_3_An;K5_4_An;K5_5_An;K6_1_An;K6_2_An;K6_3_An;K6_4_An;K6_5_An;K7_1_An;K7_2_An;K7_3_An;K7_4_An;K7_5_An;K9_1_An;K9_2_An;K9_3_An;K9_4_An;K9_5_An;Me1_1_An;Me1_2_An;Me1_3_An;Me1_4_An;Me1_5_An;Me2_1_An;Me2_2_An;Me2_3_An;Me2_4_An;Me2_5_An;Me3_1_An;Me3_2_An;Me3_3_An;Me3_4_An;Me3_5_An
166_Chlamydomonas_sp;0;0;0;0;0;0;0;0;0;0;66;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;66;62;0;0;0;0;0;0;0;0;0;0;0;0
167_Chlamydomonas_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;252;102;49;245;50;0;0;0;0;0;105;51;77;71;0;0;41;0;31;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0
168_Chlamydomonas_concordia;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;96;47;114;157;0;0;0;0;0;21;99;0;0;36;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0
169_Chlamydomonas_meslinii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;406;0;223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170_Chlamydomonas_sp;0;0;0;0;0;0;0;54;71;306;0;0;0;0;0;0;56;60;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;24;37;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
171_Chlamydomonas_moewusii;0;50;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172_Chlorogonium_euchlorum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;76;73;117;108;0;0;0;0;0;60;45;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173_Chloromonas_fukushimae;0;0;0;0;44;143;0;60;172;34;237;857;950;352;1736;121;104;310;292;497;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;27;0;28;0;22;0;0;0;0;0;0;39;0;0;87;0;0;0;0;29;0;0;0;54;0;176;94;128;180;709;942;39;142;60;22;0;47;0;40;82;0;0;0;0;0;0;0;94;150;35;0;62;0;0;0;117;71;0;0;0;33;0;0;0;24;0;30;99;173;40;27;965;32;0;0;0
174_Chloromonas_reticulata;0;0;0;0;60;29;0;0;0;0;36;73;0;32;107;32;57;81;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;42;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
175_Chloromonas_platystigma;0;0;0;0;0;0;0;0;0;0;473;982;2557;847;2135;164;94;153;103;136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;23;43;29;0;36;310;0;57;22;0;0;28;0;0;34;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;35;0;0;296;0;0;0;0
